Word,Frequency,Paragraph
a,8,"1, 2, 3, 4, 5, 6"
about,7,"1, 2, 3, 4, 6"
above,1,3
added,1,6
africa,1,1
all,9,"1, 2, 3, 4, 5, 6"
always,1,2
an,2,"1, 4"
and,22,"2, 3, 4, 5, 6"
angry,3,"2, 4, 5"
animals,2,"4, 6"
answered,1,2
anywhere,1,2
aren't,1,2
ask,1,4
at,2,"3, 5"
be,1,2
because,2,"1, 2"
began,1,5
believe,2,"3, 5"
belonged,1,3
ben,13,"1, 2, 3, 4, 5, 6"
ben's,2,"Title, 4"
between,1,3
book,2,3
books,7,"1, 3, 4, 5"
bowls,1,5
boy,1,2
boys,1,2
broke,1,5
brother,3,5
brothers,7,"2, 3, 4, 5"
but,6,"1, 2, 3, 6"
by,1,3
called,2,"2, 6"
came,2,"1, 4"
can,1,3
carried,1,3
child,1,1
children,2,"1, 6"
chocolate,1,4
clever,1,2
coat,3,"4, 5"
cold,1,1
couldn,2,"5, 6"
couldn't,1,3
countries,1,6
cup,9,"3, 4, 5, 6"
d,1,3
did,1,1
didn,2,"1, 2"
dig,1,2
digging,2,2
dinner,4,"2, 4, 5"
disappear,1,6
disappeared,1,5
don't,1,2
down,1,3
each,1,2
empty,1,5
enough,1,2
everywhere,1,5
favourite,1,1
fell,2,"3, 5"
felt,3,"2, 3, 6"
field,1,4
fields,2,2
fight,1,5
fire,1,3
first,1,6
for,3,"1, 2, 4"
found,1,4
from,2,"3, 6"
full,3,5
gave,1,4
give,5,5
go,4,2
got,2,"2, 5"
ground,1,5
had,1,2
have,3,"1, 3, 5"
he,12,"1, 2, 3, 5, 6"
head,1,6
him,2,"3, 6"
his,5,"1, 3, 5"
home,2,"3, 4"
hot,1,4
house,1,5
hungry,1,2
i,16,"1, 2, 3, 4, 6"
if,1,4
in,11,"1, 2, 3, 4, 5, 6"
it,13,"1, 3, 4, 5, 6"
just,5,"2, 4, 6"
knew,1,6
laughed,3,"2, 3"
learn,2,"2, 3"
learned,1,4
leaves,1,3
like,2,"2, 3"
live,1,4
lived,2,"1, 6"
looked,3,"3, 4, 5"
lots,1,6
loved,1,1
lucky,2,3
m,1,3
make,2,"2, 6"
man,1,6
me,9,"1, 3, 4, 5, 6"
mine,1,5
minute,1,5
money,4,5
more,2,"3, 5"
morning,1,2
my,6,"1, 5, 6"
name,1,6
never,1,6
new,6,"3, 4, 5"
no,1,5
not,1,5
nowhere,1,5
of,8,"1, 3, 5, 6"
often,3,"1, 2"
old,2,"3, 4"
older,4,"2, 4, 5"
oldest,1,5
on,2,5
one,7,"1, 3, 5"
opened,1,3
other,2,5
our,4,"4, 5"
outside,1,1
part,1,6
people,1,6
perhaps,2,6
picked,1,5
planting,2,2
please,1,3
pocket,1,3
poor,1,2
put,1,3
rain,1,2
read,2,"3, 4"
really,1,4
room,2,5
s,8,"1, 4, 5, 6"
sad,1,6
said,7,"2, 3, 4, 5"
same,1,2
sat,1,3
school,2,2
see,2,1
shouted,3,"4, 5"
silly,1,2
silver,2,"4, 5"
small,1,3
so,4,"2, 3"
some,2,2
sometimes,1,1
soup,4,"2, 4, 5"
stories,3,"1, 6"
story,1,6
suddenly,3,"3, 5"
sweets,3,5
t,4,"1, 2, 5, 6"
table,1,5
tell,1,6
ten,1,1
than,1,5
that,4,"3, 4, 5, 6"
the,40,"2, 3, 4, 5, 6"
them,3,"1, 3, 5"
then,2,"3, 6"
there,2,"5, 6"
they,5,"2, 4, 5"
think,2,"1, 4"
this,2,"3, 5"
time,1,3
to,14,"1, 2, 3, 4, 5, 6"
today,2,"3, 4"
told,3,"1, 6"
too,2,"4, 5"
tree,1,3
two,2,"2, 5"
uncle,5,"1, 6"
uncle's,1,6
understands,1,4
up,3,"2, 4, 5"
us,5,"1, 2, 5"
usually,1,1
ve,1,4
vegetable,3,"4, 5"
vegetables,1,2
very,4,"1, 5, 6"
visit,1,1
visited,1,6
want,3,"2, 4, 5"
warm,2,"4, 5"
was,6,"1, 6"
way,1,2
we,2,5
were,5,"2, 4, 5"
when,6,"1, 4, 6"
where,2,4
who,2,"1, 6"
winter,1,1
wish,1,5
wishes,3,"Title, 1, 4"
with,1,3
work,1,2
worked,1,2
world,6,"2, 3, 4, 6"
writes,1,1
wrote,1,6
you,2,"2, 4"
your,1,4
yours,1,5
