Word,Frequency,Paragraph
a,27,"1, 3, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 19, 21"
about,4,"1, 5"
across,1,1
afternoon,1,19
again,3,"8, 11, 16"
ago,2,"15, 17"
all,1,17
an,2,"8, 16"
and,29,"Title, 1, 6, 7, 8, 10, 11, 12, 13, 15, 16, 20, 24, 25"
are,1,17
asked,4,"2, 14, 22, 26"
at,9,"3, 5, 6, 7, 11, 12, 16, 21, 24"
away,1,8
back,1,13
bank,4,"15, 17, 21"
banks,1,15
beaches,1,1
beak,1,8
beautiful,1,1
because,5,"3, 5, 13, 22, 25"
bed,1,5
believe,1,15
below,1,6
big,6,"1, 6, 8, 16, 24, 25"
bigger,1,19
biggest,3,"10, 11, 12"
bird,5,"8, 15, 24, 25"
black,3,"8, 24, 25"
blue,1,9
boat,3,"6, 20"
book,10,"10, 11, 12, 13, 15, 16, 17, 22"
bookcase,2,12
bottom,1,7
bread,1,7
bridge,1,6
building,1,1
buildings,1,1
bus,2,"6, 7"
busy,1,3
but,7,"3, 5, 7, 11, 17, 24"
buy,2,"5, 17"
by,1,7
came,1,19
can,1,3
carefully,2,"9, 16"
carried,1,12
chair,2,12
chemist,1,7
city,5,"1, 2, 5, 6"
climbing,1,1
clouds,1,24
could,1,1
couldn,1,24
couldn't,1,11
countryside,4,"3, 5, 6"
d,1,6
day,4,"6, 16"
decided,2,"7, 12"
did,1,8
didn,4,"5, 7, 17"
do,1,26
does,1,11
don't,1,15
down,6,"7, 8, 11, 12, 13, 16"
dropped,1,8
enough,2,"5, 21"
envelope,8,"8, 9, 13, 19, 20"
envelopes,1,Title
excited,1,16
exciting,1,1
face,1,16
factory,1,7
fast,1,6
feel,2,"1, 7"
fell,1,13
find,1,10
finding,1,17
finished,1,7
flag,3,"15, 16, 21"
flat,1,1
flew,2,8
foot,1,8
for,3,"7, 17"
found,1,19
from,4,"8, 12, 19"
front,2,"12, 15"
gave,2,"15, 16"
go,7,"5, 6, 7, 10, 15"
going,4,"1, 5, 17, 21"
got,3,"11, 12, 21"
grandmother,3,"15, 17, 22"
grey,2,1
had,4,"8, 13, 15, 16"
happened,1,8
have,3,"3, 5, 21"
he,32,"1, 2, 5, 6, 7, 11, 12, 13, 14, 16, 17, 19, 24"
heavy,1,12
helen,1,15
her,1,14
here,2,"2, 3"
high,1,24
hill,1,7
his,11,"1, 2, 5, 11, 13, 15, 16, 19, 23, 26"
holiday,3,"3, 5, 21"
home,4,"5, 7, 11, 19"
hospital,1,3
hotel,1,5
i,3,"6, 15"
i'd,3,6
if,1,10
in,19,"1, 2, 3, 5, 6, 8, 10, 11, 12, 15, 16, 17, 24"
inside,3,"9, 13, 20"
into,3,"6, 12, 13"
is,1,3
islands,1,1
it,17,"8, 9, 12, 13, 15, 16, 17, 19"
its,3,"6, 8, 13"
job,1,3
jumped,1,13
kind,2,"15, 16"
kitchen,3,"12, 13, 19"
knew,1,24
know,1,17
lakes,1,1
last,1,5
later,1,19
laughed,1,4
left,1,17
letter,1,8
like,5,"3, 6"
liked,1,1
little,4,"13, 17, 22"
live,1,2
lived,2,1
living,1,12
ll,1,15
long,2,"15, 17"
look,3,"6, 10, 15"
looked,6,"1, 6, 11, 16, 24"
lots,3,"1, 13, 15"
loved,1,1
made,1,1
me,2,"8, 10"
mean,2,"11, 26"
message,2,11
middle,2,"1, 6"
minute,1,7
money,4,"5, 15, 17, 21"
more,1,1
morning,1,6
mother,9,"2, 5, 13, 15, 16, 18, 19, 23, 26"
mountains,1,1
mr,3,"15, 16, 21"
much,1,18
must,2,"2, 17"
my,3,"3, 15, 27"
name,2,15
near,1,6
next,3,"3, 6, 16"
nice,1,3
night,1,5
noisy,1,1
now,2,"17, 21"
numbers,1,13
of,17,"1, 6, 7, 9, 11, 12, 13, 15, 16, 22, 24, 25"
office,1,7
oh,1,4
old,2,"13, 16"
oldest,3,"10, 11, 12"
on,18,"1, 5, 6, 7, 8, 9, 12, 13, 15, 16, 19"
one,3,6
only,1,1
open,1,19
opened,3,"9, 13, 15"
or,3,"1, 5, 6"
other,1,1
our,1,17
out,4,"1, 6, 13, 24"
outside,1,7
pages,1,13
paper,2,"9, 11"
past,3,7
people,2,"1, 15"
perhaps,1,3
person,1,15
picked,2,"8, 16"
piece,2,"9, 11"
places,2,1
plane,3,"6, 20"
pocket,1,11
police,1,7
post,1,7
programmes,1,1
put,3,"11, 12, 16"
ran,1,13
read,2,"8, 9"
reading,1,1
remembered,1,5
river,1,6
roads,1,1
robert,25,"Title, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 16, 18, 19, 21, 22, 24, 25, 27"
robert's,1,18
room,1,12
s,8,"7, 8, 14, 15, 16, 22, 27"
sad,1,1
said,7,"5, 8, 15, 17, 19, 23, 27"
sailed,1,1
same,1,5
sat,2,"7, 11"
saw,3,6
says,2,"15, 21"
school,3,"6, 7, 19"
sea,1,1
secret,1,27
see,2,"1, 24"
she,1,15
shelf,1,12
ship,1,6
ships,1,1
shoe,1,7
shop,1,7
show,2,"13, 15"
sky,3,"6, 8, 24"
smile,1,16
smiled,2,"18, 25"
so,3,"7, 8, 13"
some,1,9
someone,1,16
something,3,"5, 12, 18"
sometimes,1,1
son,1,17
spent,1,5
spoke,1,16
started,1,7
station,2,"6, 7"
stay,1,5
stood,1,12
stories,1,1
strange,2,"1, 8"
summer,2,"3, 5"
supermarket,1,7
t,5,"5, 7, 17, 24"
table,1,19
tall,2,1
telephone,2,16
television,1,1
thank,1,17
that,10,"1, 3, 5, 11, 15, 17, 18, 19, 27"
the,64,"Title, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 19, 20, 21, 24, 25"
them,1,13
then,10,"5, 6, 7, 8, 12, 16"
there,3,"1, 9, 24"
there's,1,15
they,5,"5, 13"
thin,1,13
thing,2,"5, 8"
this,6,"1, 14, 15, 17"
thought,5,"5, 6, 11"
three,1,Title
through,1,6
tickets,4,"5, 20"
time,2,"15, 17"
tired,1,7
to,20,"1, 5, 6, 7, 12, 13, 15, 16, 17, 21"
tomorrow,1,15
too,1,6
took,2,"12, 15"
top,1,12
traffic,1,1
train,4,"5, 6, 20"
try,1,12
two,3,20
understand,1,11
until,1,17
up,3,"6, 8, 16"
very,3,"12, 16, 18"
walk,1,7
walked,2,7
wall,1,7
want,1,7
wants,1,18
was,6,"9, 12, 13, 15, 24"
watching,1,1
waterfalls,1,1
way,1,16
we,3,"2, 3, 17"
we're,1,21
we've,1,21
well,1,17
went,1,5
were,4,"1, 13, 20"
what,4,"11, 14, 17, 26"
when,6,"1, 5, 7, 11, 16, 19"
where,1,1
white,3,"8, 24, 25"
who,1,1
why,1,2
window,3,"1, 6, 24"
windows,1,6
with,2,"9, 17"
wonderful,1,21
would,1,3
writing,1,9
year,1,5
yellow,1,13
yes,2,"4, 23"
you,6,"3, 10, 17, 26"
your,5,"10, 11, 17, 22"
